번호                                                                                                                                       (01.6월 기준),주소
120,서울특별시 종로구 율곡로 구풍문여고 앞
121,서울특별시 종로구 율곡로 구풍문여고 앞
122,서울특별시 종로구 율곡로 구풍문여고 앞
123,서울특별시 종로구 율곡로 운니동 98-7
124,서울특별시 종로구 율곡로 운니동 98-8
125,서울특별시 종로구 율곡로 재동99-4 안국역번출구
126,서울특별시 종로구 율곡로 재동99-4 안국역번출구
127,서울특별시 종로구 북촌로 북촌로4길 7 재동초교앞
128,서울특별시 종로구 북촌로 북촌로4길 7 재동초교앞
129,서울특별시 종로구 북촌로 북촌로58
130,서울특별시 종로구 북촌로 북촌로58
131,서울특별시 종로구 북촌로 북촌로5돈미약국앞
132,서울특별시 종로구 북촌로 북촌로5돈미약국앞
133,서울특별시 종로구 북촌로 북촌로35 가회동주민센터앞
134,서울특별시 종로구 북촌로 북촌로35 가회동주민센터앞
135,서울특별시 종로구 북촌로 북촌로5가길3 정독도서관
136,서울특별시 종로구 북촌로 북촌로5가길3 정독도서관
137,서울특별시 종로구 북촌로 율곡로3길 87
138,서울특별시 종로구 북촌로 율곡로3길 87
139,서울특별시 종로구 삼청로 삼청로68 삼청파출소
140,서울특별시 종로구 삼청로 삼청로68 삼청파출소
141,서울특별시 종로구 삼청로 삼청로68 삼청파출소
142,서울특별시 종로구 삼청로 삼청로99-총리 공관앞
143,서울특별시 종로구 삼청로 삼청로99- 총리 공관앞
144,서울특별시 종로구 삼청로 삼청로10
145,서울특별시 종로구 삼청로 삼청로10
146,서울특별시 종로구 율곡로 연지동 1-14(현대그룹빌딩
147,서울특별시 종로구 율곡로 연지동 1-14(현대그룹빌딩
148,서울특별시 종로구 북촌로 북촌로 8(헌법재판소 맞은편)
149,서울특별시 종로구 북촌로 북촌로 8(헌법재판소 맞은편)
150,서울특별시 종로구 돈화문로 돈화문로 7
151,서울특별시 종로구 돈화문로 돈화문로 7
152,서울특별시 종로구 종로 종로6가 동대문종합시장(01-01)
153,서울특별시 종로구 종로 종로6가 동대문종합시장(01-01)
154,서울특별시 종로구 대학로 대학로95
155,서울특별시 종로구 대학로 대학로95
156,서울특별시 종로구 창경궁로 창경궁로70 혜화동로터리
157,서울특별시 종로구 창경궁로 창경궁로70 혜화동로터리
158,"서울특별시 종로구 창경궁로 창경궁, 서울대병원정류소(01-4)"
159,"서울특별시 종로구 창경궁로 창경궁, 서울대병원정류소(01-4)"
160,"서울특별시 종로구 창경궁로 창경궁, 서울대병원정류소(01-00)"
161,"서울특별시 종로구 창경궁로 창경궁, 서울대병원정류소(01-00)"
162,서울특별시 종로구 종로 종로6가 동대문종합시장(01-0)
163,서울특별시 종로구 종로 종로6가 동대문종합시장(01-0)
164,서울특별시 종로구 대학로 동성중고 버스정류장(01-9)
165,서울특별시 종로구 대학로 동성중고 버스정류장(01-9)
166,서울특별시 종로구 대학로 마로니에공원 버스정류장(01-0)
167,서울특별시 종로구 대학로 마로니에공원 버스정류장(01-0)
168,서울특별시 종로구 종로 종로5가 광장시장 버스정류장(01-00)
169,서울특별시 종로구 종로 종로5가 광장시장 버스정류장(01-00)
170,서울특별시 종로구 창경궁로 명륜3가 성대입구 버스정류장(01-003)
171,서울특별시 종로구 창경궁로 명륜3가 성대입구 버스정류장(01-004)
172,서울특별시 종로구 창경궁로 혜화로터리 버스정류장(01-005)
173,서울특별시 종로구 창경궁로 혜화로터리 버스정류장(01-005)
174,서울특별시 종로구 종로 종로66앞
175,서울특별시 종로구 종로 종로66앞
176,서울특별시 종로구 종로 종로66앞
